,title,work experience,salary,region
452,"Data Engineer (Python), remote",1–3 года,,
453,Lead Python Developer / Ведущий разработчик Python,3–6 лет,,Москва
454,Python developer,3–6 лет,,
455,Разработчик Python (Django),3–6 лет,,
456,Middle QA Automation (Python),1–3 года,,Москва
457,Разработчик Python / Python Backend Developer,1–3 года,,Москва
458,Разработчик Python/Team Lead,3–6 лет,,
459,Python Team Lead,3–6 лет,,
460,Разработчик Python,1–3 года,,
461,"Python developer (преподаватель курсов ""Программирование на Python"")",1–3 года,,
462,Middle/Senior Python разработчик,3–6 лет,,Москва
463,Senior/Lead Python-разработчик,3–6 лет,,Барнаул
464,Программист Python,1–3 года,от 70 000 руб. на руки,"Москва, Мякинино, Строгино"
465,Senior python developer на продукт Golden Record (Big Data),3–6 лет,,
466,Python Developer (Middle+),3–6 лет,до 4 000 USD на руки,Санкт-Петербург
467,Senior Python Developer (Django),3–6 лет,,Москва
468,Программист,1–3 года,,Москва
469,Senior/Lead Python-разработчик,3–6 лет,,Екатеринбург
470,Python Developer,3–6 лет,,Петропавловка (Республика Бурятия)
471,"Разработчик Python (Middle, Senior)",3–6 лет,,
472,Senior Python разработчик (Проект OpsNext),3–6 лет,,Москва
473,"Разработчик С++/Python (middle), Linux, backend, embedded",1–3 года,от 120 000 до 180 000 руб. на руки,Армения
474,Разработчик RPA,1–3 года,,Красноярск
475,Senior Backend Python Developer,3–6 лет,,
476,Middle\Senior Python-разработчик,3–6 лет,,Москва
477,Python developer (Ds направление),3–6 лет,,Москва
478,Senior/Lead Python-разработчик,3–6 лет,,Ижевск
479,Python developer (Middle/Senior),1–3 года,,
480,Team Lead Python,более 6 лет,,
481,Python разработчик,1–3 года,,Иннополис
482,Python developer (г. Томск),не требуется,от 30 000 до 90 000 руб. на руки,
483,Middle/Senior Python developer,3–6 лет,,Москва
484,Middle Backend Python Developer,1–3 года,,"Москва, Чертановская"
485,Automation QA (Python),1–3 года,,Ростов-на-Дону
486,Программист Python,1–3 года,от 180 000 руб. на руки,Москва
487,Python middle+ developer,3–6 лет,,Волгоград
488,Python-разработчик Pre Middle / Middle,1–3 года,от 60 000 до 140 000 руб. на руки,
489,Senior Python-разработчик,3–6 лет,до 400 000 руб. на руки,Москва
490,Senior/Lead Python-разработчик,3–6 лет,,Кемерово
491,Backend разработчик python,3–6 лет,,Воронеж
492,"Data Engineer (Python), remote",1–3 года,,
493,Middle Python developer,3–6 лет,от 130 000 KGS на руки,Бишкек
494,Senior Python Developer (Partners),3–6 лет,,
495,"Преподаватель на курс ""Python разработчик""",3–6 лет,,
496,Developer Python,1–3 года,от 130 000 руб. на руки,
497,"Data Engineer (Python), remote",1–3 года,,
498,Senior Python разработчик,3–6 лет,,Ростов-на-Дону
499,Back-end разработчик (Python),1–3 года,,Пермь
500,Pipeline developer / Пайплайн разработчик (Python),3–6 лет,,Москва
501,Python developer,1–3 года,,
502,Python Developer (Middle/Senior),3–6 лет,,Каспи
503,Backend разработчик со знанием Python,3–6 лет,от 2 500 до 3 000 USD на руки,Бишкек
504,Ведущий Python-developer,3–6 лет,,
505,Backend разработчик python,3–6 лет,,Москва
506,ETL Developer AirFlow + Python,1–3 года,,Ростов-на-Дону
507,Team Lead (Python),3–6 лет,,Санкт-Петербург
508,Программист Python,1–3 года,,
509,Наставник на курс “Асинхронное программирование на Python”,3–6 лет,,Москва
510,Senior/Lead Python-разработчик,3–6 лет,,Ижевск
511,Backend разработчик Python Senior (Проект Персональные данные),3–6 лет,,
512,Python-разработчик,3–6 лет,,Москва
513,Автор курсов по Python,3–6 лет,,
514,Программист Python Senior,3–6 лет,,Москва
515,Ведущий разработчик Python (middle),1–3 года,,
516,Программист Python,3–6 лет,,Москва
517,Team Lead Python,3–6 лет,,
518,Python разработчик (Middle),1–3 года,,Краснодар
519,Backend разработчик со знанием Python,3–6 лет,от 2 500 до 3 000 USD на руки,Ташкент
520,Программист Python Full stack (middle),1–3 года,,Москва
521,Middle Backend Developer (Python),3–6 лет,,Санкт-Петербург
522,Backend разработчик со знанием Python,3–6 лет,от 2 500 до 3 000 USD на руки,Алматы
523,Разработчик Back-end,3–6 лет,,
524,Программист Python Middle/Senior/Lead,1–3 года,от 180 000 руб. на руки,
525,Middle python developer,3–6 лет,,Москва
526,Middle/Senior Python Developer,3–6 лет,,Москва
527,Python Team Lead,3–6 лет,,
528,Senior Backend Python Developer со знанием С++ платформа анализа и синтеза речи (MTS AI),3–6 лет,от 250 000 руб. на руки,
529,Python developer (Django),3–6 лет,,Краснодар
530,Senior/Lead Python-разработчик,3–6 лет,,Тюмень
531,Senior/Lead Python-разработчик,3–6 лет,,Омск
532,Senior/Lead Python-разработчик,3–6 лет,,Томск
533,Программист инструментария / Game Tools Developer,1–3 года,,Санкт-Петербург
534,Системный программист (Linux),1–3 года,от 180 000 руб. на руки,
535,Python-разработчик (Совкомбанк Технологии),1–3 года,,
536,Backend developer (Python),1–3 года,,
537,Senior Python Backend Developer (to Cyprus),3–6 лет,,Кипр
538,Программист Python,3–6 лет,,
539,Senior Python Developer (API),3–6 лет,,
540,Python Developer,3–6 лет,,Алматы
541,Python Web Developer,1–3 года,,
542,Senior/Lead Python-разработчик,3–6 лет,,Екатеринбург
543,Руководитель группы бэкенд разработки на Python,3–6 лет,,
544,Программист Python,1–3 года,,Москва
545,Senior python developer,3–6 лет,,
546,Python Developer,1–3 года,,
547,Middle/Senior Python Developer,3–6 лет,,Минск
548,Senior Python разработчик,3–6 лет,,Нижний Новгород
549,Разработчик Python + Java / Backend Developer,3–6 лет,от 110 000 руб. на руки,
550,Разработчик Python (backend),3–6 лет,,
551,Преподаватель программирования в онлайн-школу для детей (удаленно),1–3 года,от 25 000 до 55 000 руб. на руки,Тюмень
552,Программист Perl,1–3 года,от 150 000 руб. на руки,
553,Python-разработчик (краудсорсинговая платформа TagMe),3–6 лет,от 200 000 до 400 000 руб. на руки,
554,Senior/Lead Python-разработчик,3–6 лет,,Иннополис
555,Middle Python developer / Django разработчик,1–3 года,от 80 000 до 120 000 руб. на руки,
556,Python developer,1–3 года,,
557,Программист Python,3–6 лет,до 50 000 000 сум на руки,
558,Senior/Lead Python-разработчик,3–6 лет,,Пермь
559,Python developer (Django),3–6 лет,,Москва
560,Python Middle Backend Developer (FastAPI) (Ижевск),1–3 года,,Ижевск
561,Senior/Lead Python-разработчик,3–6 лет,,Самара
562,Team Lead Python Test Automation,3–6 лет,,Сербия
563,Инженер-программист (Software Engineer),1–3 года,,
564,Senior/Lead Python-разработчик,3–6 лет,,Иваново (Ивановская область)
565,Инженер внедрения стека DevSecOps,1–3 года,,
566,Python developer,1–3 года,,
567,Web-разработчик (Python),3–6 лет,,Москва
568,Python-программист (отдел автоматизированного тестирования),не требуется,от 30 000 до 50 000 руб. на руки,Москва
569,Python-разработчик,1–3 года,,Москва
570,"Преподаватель на курс ""Основы IT для непрограммистов""",1–3 года,,Москва
571,Middle Python-разработчик,1–3 года,,Бишкек
572,Backend разработчик,1–3 года,от 100 000 руб. на руки,
573,Инженер-программист (Python),1–3 года,от 50 000 руб. на руки,Архангельск
574,Middle/Senior Python Developer,3–6 лет,до 300 000 руб. на руки,
575,Преподаватель Программирования Python (Yandex лицей),1–3 года,,
576,Python-разработчик,3–6 лет,до 250 000 руб. на руки,Москва
577,Python Developer в команду тестирования,3–6 лет,,Санкт-Петербург
578,Ведущий разработчик Python,3–6 лет,от 240 000 руб. на руки,Москва
579,Python Developer,3–6 лет,до 6 000 USD на руки,Москва
580,Разработчик Python (ML),1–3 года,,Москва
581,Программист С++ (Middle / Senior),3–6 лет,от 180 000 руб. на руки,
582,Middle Python Developer в команду контакт-центра сервиса путешествий,1–3 года,,
583,Разработчик Python (ALD),3–6 лет,,
584,Senior/Lead Python-разработчик,3–6 лет,,Новосибирск
585,Программист Python,не требуется,от 15 000 до 15 000 руб. на руки,
586,"Разработчик Backend (Python, Django)",3–6 лет,от 180 000 до 300 000 руб. на руки,
587,Senior Python Developer,более 6 лет,,Москва
588,Преподаватель Python и WEB-разработки (CSS+JS) для детей,не требуется,от 25 000 до 35 000 руб. на руки,
589,Разработчик на Python в HR Tech,3–6 лет,,Владивосток
590,Программист-разработчик,1–3 года,,
591,Ведущий Python-разработчик / Senior Python Developer,1–3 года,,
592,Программист Python,1–3 года,,Новосибирск
593,Разработчик Python,3–6 лет,от 150 000 руб. на руки,Казань
594,Senior Python Developer (remote),более 6 лет,от 4 000 EUR на руки,Армения
595,Разработчик Python,1–3 года,,Краснодар
596,Python разработчик (senior),3–6 лет,,
597,Senior Python разработчик (Intelligent Document Processing),3–6 лет,от 200 000 до 400 000 руб. на руки,
598,Python Middle Backend Developer (FastAPI) (Москва),1–3 года,,Москва
599,Backend разработчик python,3–6 лет,,Екатеринбург
600,Разработчик Python (Senior),3–6 лет,,Москва
601,Разработчик Backend (Python/Golang),3–6 лет,,Санкт-Петербург
602,Python Developer (Data направление),1–3 года,от 150 000 руб. на руки,Санкт-Петербург
603,Python-разработчик,3–6 лет,,Москва
604,Преподаватель курсов «Программирование на языке Python»,3–6 лет,,Москва
605,Ведущий разработчик Python,3–6 лет,,
606,Python-разработчик в Цифровые поверхности Салют (направление B2B2C),3–6 лет,,
607,Python разработчик (Middle),1–3 года,,Казань
608,Senior Python Developer,более 6 лет,от 6 000 USD на руки,Армения
609,Разработчик python,не требуется,,
610,Senior Python developer,3–6 лет,,
611,Разработчик RPA,не требуется,,
612,"Преподаватель по программированию (Python, С++, Java)",1–3 года,от 150 000 до 250 000 KZT на руки,
613,Разработчик full-stack,3–6 лет,от 130 000 до 160 000 руб. на руки,
614,Middle+/Senior Python Developer / Python разработчик (backend),3–6 лет,от 150 000 до 300 000 руб. на руки,"Москва, Румянцево"
615,Разработчик Python,более 6 лет,,"Москва, Кожуховская"
616,Backend-Developer Python (middle),1–3 года,,
617,Middle Python developer,1–3 года,,
618,Middle Full-stack разработчик,3–6 лет,от 100 000 руб. на руки,Санкт-Петербург
619,Мейнтейнер (DevOps/ Инженер Linux),3–6 лет,,
620,Инженер-программист (Python),1–3 года,от 50 000 руб. на руки,Великий Новгород
621,Python Developer,3–6 лет,,
622,Python разработчик,1–3 года,,
623,Full-stack разработчик (Python/React) в PREDICT,1–3 года,,
624,,,,
625,Преподаватель по программированию - Python,1–3 года,,
626,Middle Python-разработчик,1–3 года,,Москва
627,"Разработчик С++/Python (senior), Linux, backend, embedded",3–6 лет,от 160 000 до 250 000 руб. на руки,Алматы
628,Ведущий разработчик Python,3–6 лет,,
629,Python backend Middle/Senior developer,3–6 лет,,Брянск
630,Backend - разработчик Python (удаленная работа),3–6 лет,,
631,Python Backend Developer,1–3 года,от 80 000 до 100 000 руб. на руки,
632,Middle python разработчик (DBааS),3–6 лет,,Москва
633,Разработчик python,1–3 года,,Москва
634,Программист Java+Python/Oracle,1–3 года,,
635,Разработчик С++ / Python (HSM),3–6 лет,,
636,Team Lead Python,3–6 лет,,Москва
637,Python-разработчик в команду разработки биллинговой платформы,3–6 лет,,Санкт-Петербург
638,Python Developer,1–3 года,,Москва
639,Data Engineer (c практическим уклоном в Python),3–6 лет,,Бишкек
640,Python Developer (CRM),1–3 года,,
641,Python разработчик в CM.Expert (Яндекс Вертикали),3–6 лет,,Москва
642,Backend-разработчик / Разработчик Python,1–3 года,,
643,Разработчик ботов,3–6 лет,,
644,Программист Python (Голосовой робот),1–3 года,,
645,Программист Python Middle,1–3 года,,
646,Python developer,3–6 лет,,Минск
647,Программист Python,1–3 года,,Ярославль
648,Ведущий Python-developer,3–6 лет,,Казань
649,Python разработчик,1–3 года,,Самара
650,"Программист JavaScript, Python",1–3 года,от 60 000 руб. на руки,
651,Python Developer,3–6 лет,от 150 000 до 200 000 руб. на руки,Нижний Новгород
652,Python-разработчик,3–6 лет,от 110 000 до 170 000 руб. на руки,
653,Python Developer,1–3 года,,
654,Python developer,3–6 лет,,Москва
655,QA инженер (Python),1–3 года,,
656,Математик - программист,1–3 года,,
657,Senior/Middle Python разработчик,3–6 лет,,Москва
658,Fullstack developer,1–3 года,,Санкт-Петербург
659,Python разработчик (backend),1–3 года,,Екатеринбург
660,Python разработчик в CM.Expert (Яндекс Вертикали),3–6 лет,,Санкт-Петербург
661,Senior Python developer,3–6 лет,,
662,Backend разработчик со знанием Python,3–6 лет,от 2 500 до 3 000 USD на руки,Баку
663,"Разработчик С++/Python (senior), Linux, backend, embedded",3–6 лет,от 160 000 до 250 000 руб. на руки,Москва
664,Middle Backend Developer (Python),3–6 лет,,Челябинск
665,Python разработчик,3–6 лет,,
666,Разработчик Python,3–6 лет,,
667,Lead Python разработчик,более 6 лет,,Москва
668,Python Developer (Asgard),3–6 лет,,
669,Middle Backend разработчик (Python),3–6 лет,от 400 000 до 900 000 KZT на руки,
670,Senior backend - разработчик на python,3–6 лет,,Москва
671,Backend разработчик Python (Middle/Senior),1–3 года,от 1 500 USD на руки,Ташкент
672,Python Developer (Partners),3–6 лет,,
673,Программист-разработчик,не требуется,от 55 000 до 75 000 руб. на руки,
674,Python developer,1–3 года,,Москва
675,Бэкэнд-разработчик Golang,1–3 года,,
676,Программист Python,1–3 года,,Кострома
677,Backend Developer (Python),1–3 года,от 150 000 до 200 000 руб. на руки,
678,"Аналитик-разработчик (SQL, Python)",1–3 года,,
679,Программист Python / Senior / Lead,3–6 лет,,
680,Python – разработчик,1–3 года,,
681,Middle\Senior Python developer,3–6 лет,,Москва
682,Программист Python,1–3 года,,
683,Разработчик - геофизик (python),1–3 года,,Санкт-Петербург
684,Разработчик С++ / Python (HSM),3–6 лет,,
685,Python Developer (Data направление),1–3 года,от 150 000 руб. на руки,Москва
686,Ведущий разработчик Python,3–6 лет,,Москва
687,Middle / Senior Python developer,1–3 года,,Москва
688,Senior / Middle Python Developer,3–6 лет,,
689,Python-разработчик,1–3 года,,
690,Главный разработчик Python,1–3 года,,
691,Python-разработчик,3–6 лет,,Москва
692,"Backend-разработчик (Middle/Senior, дистанционно)",1–3 года,,Москва
693,Python Developer (middle/Senior),1–3 года,,Москва
694,Senior Python developer,3–6 лет,,"Москва, Проспект Мира"
695,Python разработчик,3–6 лет,,Санкт-Петербург
696,Senior Python Developer (удаленно),3–6 лет,,
697,Python developer,1–3 года,,
698,Middle \ Senior Python developer,3–6 лет,,Москва
699,Python developer,1–3 года,от 200 000 до 300 000 руб. на руки,Сочи
700,Junior DevOPS Engineer (OnPrem Team),не требуется,,
701,Разработчик С++ / Python (HSM),3–6 лет,,
702,Разработчик Python,3–6 лет,,Москва
703,Python разработчик,1–3 года,,Хабаровск
704,Программист Python,1–3 года,,Санкт-Петербург
705,Разработчик ИСУ (SQL/Python),1–3 года,,
706,Backend-разработчик (Python),1–3 года,,Алматы
707,Middle/Senior Python-разработчик в команду Добычи данных,более 6 лет,,Санкт-Петербург
708,Программист-исследователь (проект Поиск),1–3 года,,
709,Python разработчик,3–6 лет,от 120 000 до 230 000 руб. на руки,
710,Python Developer,3–6 лет,до 300 000 руб. на руки,Москва
711,Middle Python developer (remote),1–3 года,,
712,Senior Python developer (MLOps),более 6 лет,от 3 500 EUR на руки,
713,Преподаватель курса DEV-PYWEB (Разработка WEB приложений на языке Python),1–3 года,,
714,TechLead / Senior Python Developer,3–6 лет,,
715,Middle Python developer / Разработчик Python,3–6 лет,,Москва
716,Middle/Senior Python-разработчик в команду Добычи данных,более 6 лет,,Нижний Новгород
717,Python developer (Openstack),более 6 лет,,
718,Разработчик Python/Django (Middle),3–6 лет,от 180 000 до 250 000 руб. на руки,Москва
719,Python Developer (Crypto),3–6 лет,от 5 000 до 7 000 EUR на руки,Москва
720,Разработчик ETL/Airflow/Python (RWA),3–6 лет,,Москва
721,Разработчик SeniorPython,3–6 лет,,"Москва, Выставочная, Деловой центр, Деловой центр"
722,Python Developer (Middle/Senior),3–6 лет,,Тбилиси
723,Код-ревьюер на курс “Асинхронное программирование на Python”,3–6 лет,,Москва
724,Python разработчик (middle/senior) в on-lin кинотеатр KION,1–3 года,,Москва
725,Python Developer (Crypto),3–6 лет,от 5 000 до 7 000 EUR на руки,Санкт-Петербург
726,Middle Python Backend Developer (remote/full time),3–6 лет,до 200 000 руб. на руки,Оренбург
727,Automation QA specialist (Python),1–3 года,,Москва
728,Middle Python Developer,1–3 года,,Москва
729,Senior Python-разработчик,3–6 лет,,Москва
730,Инженер-разработчик Python под Linux,1–3 года,от 55 000 до 200 000 руб. на руки,Симферополь
731,Python Developer (Middle/Senior),3–6 лет,,Боржоми
732,Разработчик Middle Backend (Python) Developer,1–3 года,,
733,Бекэнд разработчик Python,1–3 года,,
734,Back-end developer,1–3 года,от 600 000 до 750 000 KZT на руки,
735,Full-Stack Django разработчик,1–3 года,,Москва
736,Разработчик Python,1–3 года,,
737,DevOps Engineer (Remote),1–3 года,от 230 000 руб. на руки,Москва
738,Ведущий разработчик Python,3–6 лет,,
739,Middle/Senior Python-разработчик в команду Добычи данных,более 6 лет,,Екатеринбург
740,Python разработчик системы A/B-экспериментов,3–6 лет,,
741,Data Engineer (Python),1–3 года,,Ташкент
742,Middle Python Developer,3–6 лет,от 4 000 до 4 000 USD на руки,Санкт-Петербург
743,Middle/Senior Python-разработчик в команду Добычи данных,более 6 лет,,Краснодар
744,Python Developer (Crypto),3–6 лет,от 5 000 до 7 000 EUR на руки,Кипр
745,Разработчик RPA,1–3 года,,Москва
746,Fullstack Developer (Vue + Python),3–6 лет,,Санкт-Петербург
747,Преподаватель программирования,3–6 лет,от 180 000 до 280 000 KZT на руки,
748,Разработчик Python,3–6 лет,,
749,Senior Python developer (удаленно),3–6 лет,,Нижний Новгород
750,Data Science разработчик,3–6 лет,от 180 000 до 250 000 руб. на руки,Санкт-Петербург
751,Middle\ Senior Python developer,3–6 лет,,Москва
752,Python Developer (Crypto),3–6 лет,от 5 000 до 7 000 EUR на руки,Новосибирск
753,Разработчик СУБД (C/Python),3–6 лет,,Москва
754,Программист Python Middle/Senior (МР),1–3 года,,Санкт-Петербург
755,Python back-end разработчик,3–6 лет,,Кострома
756,Python-разработчик,3–6 лет,до 175 000 руб. на руки,Казань
757,Go/Python разработчик в команду DBaaS,3–6 лет,,Москва
758,Инженер-программист,не требуется,,Москва
759,Инженер-программист Python (Воронеж),1–3 года,,
760,Рython developer (Django/Flask),1–3 года,от 60 000 руб. на руки,
761,Python разработчик,3–6 лет,,Екатеринбург
762,Python разработчик (Back-end),3–6 лет,,"Москва, Менделеевская"
763,Middle / Senior Python / Go developer,1–3 года,от 80 000 до 200 000 руб. на руки,
764,"Python Developer, Middle",1–3 года,,
765,Python Developer (Middle/Senior),3–6 лет,,Батуми
766,Teamlead Backend (Python),1–3 года,,
767,Инженер-программист Python,3–6 лет,,Екатеринбург
768,Middle Python Developer,1–3 года,,
769,Middle/Senior Python-разработчик в команду Добычи данных,более 6 лет,,Пермь
770,Python разработчик,более 6 лет,от 350 000 руб. на руки,Казань
771,,,,
772,Программист-разработчик,1–3 года,,Санкт-Петербург
773,Python Разработчик,1–3 года,,Москва
774,Python Developer,1–3 года,,
775,Разработчик СУБД (C/Python),3–6 лет,,Новосибирск
776,Python-разработчик,1–3 года,,
777,Ведущий разработчик Python,3–6 лет,,
778,Разработчик Python,3–6 лет,,Москва
779,Senior Python Developer,3–6 лет,от 5 000 до 5 500 USD на руки,Алматы
780,Python Developer (to Cyprus),3–6 лет,,Москва
781,Senior Python developer (MLOps),более 6 лет,от 3 500 EUR на руки,
782,Старший разработчик-python,3–6 лет,,Москва
783,Middle Python разработчик в SberDevices (инфраструктура поиска),3–6 лет,,
784,Go/Python разработчик в команду DBaaS,3–6 лет,,Москва
785,Middle Python Developer,3–6 лет,от 4 000 до 4 000 USD на руки,Алматы
786,Программист Python Middle/Senior (МР),1–3 года,,Москва
787,Senior Python developer (MLOps),более 6 лет,от 3 500 EUR на руки,
788,Python разработчик,1–3 года,,Санкт-Петербург
789,Python Developer,3–6 лет,,Санкт-Петербург
790,Разработчик Python (Совкомбанк Технологии) на проект Почтоматы,3–6 лет,,
791,Team Lead (Python),3–6 лет,,Москва
792,DevOps Engineer,1–3 года,от 250 000 до 350 000 руб. на руки,Москва
793,Backend developer,1–3 года,от 80 000 до 120 000 руб. на руки,
794,ETL-разработчик (уровень не ниже среднего),3–6 лет,от 140 000 до 180 000 руб. на руки,Москва
795,QA automation engineer (Python),1–3 года,,
796,Разработчик СУБД (C/Python),3–6 лет,,Санкт-Петербург
797,Python developer на игровой проект Sidus Heroes,1–3 года,от 2 000 до 3 200 USD на руки,Санкт-Петербург
798,Python разработчик,3–6 лет,,Новосибирск
799,Инженер-программист (Python developer),1–3 года,,
800,Инженер-программист (Python developer),1–3 года,,
801,Инженер-программист,не требуется,,Королев
802,Middle Python Developer,3–6 лет,от 600 000 KZT на руки,
803,Middle Python backend developer (ML Space AI Cloud),1–3 года,,
804,Python разработчик (middle+),3–6 лет,,
805,Middle python разработчик,1–3 года,,
806,Backend разработчик,3–6 лет,от 2 500 до 3 000 USD на руки,Минск
807,Инженер-программист,не требуется,,Мытищи
808,Backend-разработчик в travel tech компанию WeGoTrip (Middle+ Python-developer),3–6 лет,,Турция
809,Python разработчик веб-сканера (информационная безопасность),3–6 лет,,Москва
810,Python Developer,3–6 лет,,Москва
811,Python-разработчик Middle,1–3 года,,Москва
812,Backend developer (Python) Middle,3–6 лет,до 140 000 руб. на руки,Ростов-на-Дону
813,Middle / Senior Python/Go developer,3–6 лет,от 80 000 до 200 000 руб. на руки,
814,Инженер-программист,не требуется,,Щелково
815,Python developer (системный программист),3–6 лет,,
816,Python Backend Developer (Team Lead/Remote),3–6 лет,до 250 000 руб. на руки,Москва
817,Python Developer,1–3 года,,Москва
818,Python Team Lead,3–6 лет,,Москва
819,Senior Python разработчик,3–6 лет,,Москва
820,Разработчик backend PostgreSQL+Python,3–6 лет,,Санкт-Петербург
821,Ведущий разработчик системы мониторинга оборудования (Java/Python/Aggregate),3–6 лет,,
822,Lead Python Developer,3–6 лет,от 300 000 руб. на руки,Санкт-Петербург
823,Python/Java fullstack разработчик,1–3 года,,Ташкент
824,Разработчик backend PostgreSQL+Python,3–6 лет,,Москва
825,Middle/Senior Python Developer,1–3 года,,Москва
826,Full-stack developer (Python / Django / React),3–6 лет,,Астана
827,Python developer,3–6 лет,,Казань
828,Senior Python Developer (Extranet Team),3–6 лет,,
829,Программист Python Middle/Senior (ЛК),1–3 года,,Санкт-Петербург
830,Преподаватель по IT,1–3 года,,
831,,,,
832,Программист,1–3 года,от 30 000 до 80 000 руб. на руки,Омск
833,Strong Middle Python developer,3–6 лет,,Ташкент
834,Senior/Lead Python-разработчик,3–6 лет,,Москва
835,Middle/Senior Python developer (remote),3–6 лет,,Алматы
836,Программист,1–3 года,,
837,Middle Python developer,3–6 лет,,
838,Senior/Lead Python-разработчик,3–6 лет,,Казань
839,"Fullstack-разработчик (PHP, Python)",3–6 лет,до 100 000 руб. на руки,Москва
840,Senior Python developer,1–3 года,,
841,Программист-аналитик,1–3 года,,Алматы
842,Fullstack разработчик (Python),1–3 года,,
843,QA-инженер в отделе разработки СУБД (Postgres Pro),1–3 года,до 240 000 руб. на руки,
844,Full-stack developer (Python),1–3 года,,Ижевск
845,Senior/Lead Python-разработчик,3–6 лет,,Санкт-Петербург
846,Программист Python Middle/Senior (ЛК),1–3 года,,Москва
847,Python разработчик веб-сканера (информационная безопасность),3–6 лет,,Нижний Новгород
848,Python разработчик (Цифровой ассистент Робот Макс),3–6 лет,,
849,Senior/Lead Python-разработчик,3–6 лет,,Нижний Новгород
850,Python developer,3–6 лет,,Москва
851,Middle/Senior Python developer (remote),3–6 лет,,Минск
852,Team Lead/Senior Python Developer (remote),3–6 лет,от 300 000 руб. на руки,Москва
853,Web-разработчик (Python/ReactJS),1–3 года,,
854,TeamLead / руководитель команды разработки (Python),3–6 лет,,Москва
855,Middle Backend Developer (Python),3–6 лет,,Санкт-Петербург
856,Middle Python Developer,3–6 лет,,
857,Python Lead,3–6 лет,,
858,Python - разработчик (ALM 2.0 Динамическое моделирование баланса),1–3 года,,
859,Python developer,3–6 лет,,Екатеринбург
860,"Senior Python разработчик (Госуслуги, цифровой ассистент)",3–6 лет,,Санкт-Петербург
861,Team Lead/Senior Python Developer (remote),3–6 лет,от 300 000 руб. на руки,Нижний Новгород
862,"Python developer, удаленно",3–6 лет,,Москва
863,Python разработчик веб-сканера (информационная безопасность),3–6 лет,,Санкт-Петербург
864,Python developer,3–6 лет,,Санкт-Петербург
865,"Автор-лектор на курс Разработчик ""Автоматизация тестирования на Python""",1–3 года,,Москва
866,Программист Python Middle/Senior (ЛК),1–3 года,,Уфа
867,Middle разработчик,1–3 года,от 200 000 KZT на руки,Астана
868,Senior Software engineer (Python),более 6 лет,,Москва
869,Автор проверочного кода (Python/C++) на курс С++ разработчик,1–3 года,,Москва
870,Python разработчик веб-сканера (информационная безопасность),3–6 лет,,Самара
871,Преподаватель по курсу Python - разработчик (со знанием узбекского языка),1–3 года,,
872,Разработчик на языке Питон (Python middle developer),3–6 лет,от 80 000 до 120 000 руб. на руки,
873,Senior Python Developer,3–6 лет,,Алматы
874,Middle Django Developer,1–3 года,,
875,Python Team Lead (Кипр),3–6 лет,,
876,Преподаватель направления «Разработка программного обеспечения Python» проекта Цифровая Кафедра,1–3 года,,
877,Senior Python Developer,3–6 лет,,Астана
878,Senior python разработчик backend / team lead (удаленно),более 6 лет,,Москва
879,Ведущий инженер-программист по интеграции систем (Python),1–3 года,,
880,Ведущий инженер-программист по интеграции систем (Python),1–3 года,,
881,Senior Python разработчик (back-end),более 6 лет,,
882,Программист Python,3–6 лет,,
883,Middle Python Developer,более 6 лет,,
884,Django-разработчик на поддержку проекта,1–3 года,от 100 000 до 300 000 KZT на руки,Астана
885,,,,
886,Партнер Software Developer,3–6 лет,,Павлодар
887,Python developer,3–6 лет,,Минск
888,Python Backend Разработчик,3–6 лет,от 400 000 до 800 000 KZT на руки,Астана
889,Team Lead Backend-разработки/разработчик python/Go,1–3 года,,"Алматы, Байконур, Драмтеатр имени Ауэзова"
890,Django-разработчик,1–3 года,,
891,Разработчик/Data Scientist (Big Data),1–3 года,,
892,Python разработчик (ментор),1–3 года,,
893,Python Developer,3–6 лет,,
894,Python Developer (Преподаватель),1–3 года,,
895,Преподаватель Python (Наставник) для КиберШколы,не требуется,,Ташкент
896,DevOps Системный администратор,3–6 лет,,
897,Business Analyst (mobile development),1–3 года,,
898,Инженер по исследованиям/Photonics R&D Scientist,1–3 года,,Минск
899,Senior Golang Developer,3–6 лет,от 5 000 EUR на руки,Астана
900,Middle / Senior QA инженер,1–3 года,,
901,Ночной специалист технической поддержки,не требуется,от 18 000 до 36 000 руб. на руки,Москва
902,Ночной специалист технической поддержки,не требуется,от 18 000 до 36 000 руб. на руки,Санкт-Петербург
903,Senior Product Data Analyst в Поиск и рекомендации (работа в РФ),3–6 лет,,Москва
904,Data Engineer,3–6 лет,,Москва
905,Data Scientist (Core),3–6 лет,,Сербия
906,DevOps инженер,3–6 лет,,
907,Senior Data Analyst,3–6 лет,,Москва
908,Преподаватель программирования,не требуется,,
909,Веб разработчик,1–3 года,от 150 000 руб. на руки,
910,Middle Full Stack developer,1–3 года,,Новочеркасск
911,Middle/Senior DevOps Engineer,1–3 года,от 230 000 руб. на руки,Москва
912,"Senior Backend Engineer (Remote, to Canada/USA)",более 6 лет,от 5 000 до 9 000 USD на руки,Москва
913,Программист C/C++,3–6 лет,от 130 000 до 180 000 руб. на руки,
914,Инженер по автоматизации тестирования (QA Automation Engineer) (Python/JavaScript/TypeScript),1–3 года,,Нижний Новгород
915,Разработчик LUA,1–3 года,,Санкт-Петербург
916,Linux DevOps Engineer,3–6 лет,,Тбилиси
917,ML developer,более 6 лет,,Москва
